goos: darwin
goarch: arm64
pkg: lab4/concurrentmap
cpu: Apple M2 Pro
BenchmarkGrowthPlainPut/N1024-12              	 1958450	       116.5 ns/op	      61 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1024-12              	 2475838	       138.6 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1024-12              	 2590197	       127.0 ns/op	      57 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1024-12              	 2355936	       130.1 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N4096-12              	 2436870	       130.6 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N4096-12              	 2629405	       170.7 ns/op	      57 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N4096-12              	 2264703	       116.5 ns/op	      55 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N4096-12              	 2316356	       132.3 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N4096-12              	 2320827	       158.7 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N16384-12             	 2201758	       140.2 ns/op	      55 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N16384-12             	 2279398	       128.7 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N16384-12             	 2304532	       120.6 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N16384-12             	 2474595	       163.2 ns/op	      57 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N16384-12             	 2502259	       182.0 ns/op	      57 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N65536-12             	 2810348	       172.1 ns/op	      59 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N65536-12             	 2480430	       147.2 ns/op	      57 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N65536-12             	 2734316	       139.0 ns/op	      59 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N65536-12             	 2880040	       126.9 ns/op	      59 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N65536-12             	 2197629	       137.0 ns/op	      56 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N262144-12            	 3047070	       159.2 ns/op	      62 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N262144-12            	 2851948	       142.7 ns/op	      62 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N262144-12            	 1867246	       117.1 ns/op	      58 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N262144-12            	 2149132	       118.6 ns/op	      59 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N262144-12            	 2690089	       154.5 ns/op	      61 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1048576-12           	 1695717	       150.3 ns/op	      65 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1048576-12           	 1984459	       155.9 ns/op	      66 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1048576-12           	 2019897	       145.4 ns/op	      66 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1048576-12           	 1620496	       160.5 ns/op	      65 B/op	       0 allocs/op
BenchmarkGrowthPlainPut/N1048576-12           	 1756832	       171.0 ns/op	      66 B/op	       0 allocs/op
BenchmarkGrowthConcurrentMerge/N1024-12       	 1964664	       120.5 ns/op	     230 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1024-12       	 1668872	       123.8 ns/op	     230 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1024-12       	 1633748	       126.9 ns/op	     230 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1024-12       	 1948419	       131.4 ns/op	     230 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1024-12       	 1869158	       131.6 ns/op	     230 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N4096-12       	 1651359	       149.2 ns/op	     228 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N4096-12       	 1679097	       138.5 ns/op	     228 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N4096-12       	 1581523	       141.5 ns/op	     228 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N4096-12       	 1515892	       136.6 ns/op	     228 B/op	       2 allocs/op
